iteration,fertility,genes,vertical-trans
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
1,0.0,0.0,0.05
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
2,0.0,0.0,0.25
