random-mating,leakage,fertility-differential
0.40783826591359285,0.20391913295679642,0.12235147977407784
0.1588382659135928,0.20341913295679645,0.11305147977407784
0.09016173408640715,0.20291913295679642,0.10375147977407786
0.33916173408640704,0.20241913295679645,0.09445147977407786
0.5881617340864074,0.20191913295679642,0.08515147977407783
0.837161734086407,0.20141913295679645,0.07585147977407786
0.9138382659135926,0.2009191329567964,0.06655147977407785
0.6648382659135927,0.20041913295679642,0.057251479774077824
0.415838265913593,0.1999191329567964,0.04795147977407782
0.16683826591359324,0.19941913295679642,0.03865147977407788
0.08216173408640765,0.19891913295679645,0.029351479774077885
0.3311617340864075,0.19841913295679642,0.02005147977407788
0.5801617340864073,0.19791913295679645,0.010751479774077853
0.829161734086407,0.1974191329567964,0.0014514797740781294
0.9218382659135927,0.19691913295679642,0.007848520225922246
0.672838265913593,0.1964191329567964,0.017148520225922118
0.4238382659135926,0.19591913295679642,0.026448520225922145
0.1748382659135928,0.19541913295679647,0.035748520225922134
0.07416173408640686,0.19491913295679641,0.045048520225922144
0.3231617340864067,0.19441913295679644,0.05434852022592217
0.5721617340864076,0.19391913295679641,0.06364852022592209
0.8211617340864064,0.19341913295679644,0.07294852022592217
0.9298382659135929,0.1929191329567964,0.08224852022592212
0.680838265913592,0.19241913295679644,0.09154852022592214
0.4318382659135933,0.19191913295679638,0.10084852022592215
0.18283826591359237,0.1914191329567964,0.11014852022592209
0.06616173408640619,0.19091913295679647,0.11944852022592219
0.31516173408640713,0.1904191329567964,0.12874852022592212
0.564161734086408,0.18991913295679644,0.1380485202259222
0.8131617340864067,0.1894191329567964,0.14734852022592215
0.9378382659135924,0.18891913295679644,0.15664852022592216
0.6888382659135915,0.1884191329567964,0.16594852022592216
0.4398382659135929,0.18791913295679644,0.1752485202259221
0.190838265913592,0.1874191329567964,0.1845485202259221
0.058161734086406736,0.1869191329567964,0.19384852022592217
0.3071617340864075,0.18641913295679646,0.20314852022592217
0.5561617340864062,0.1859191329567964,0.21244852022592217
0.805161734086407,0.18541913295679646,0.2217485202259221
0.945838265913592,0.1849191329567964,0.23104852022592218
0.6968382659135933,0.18441913295679643,0.24034852022592212
0.44783826591359244,0.1839191329567964,0.24964852022592213
0.19883826591359155,0.18341913295679643,0.2589485202259222
0.05016173408640712,0.18291913295679646,0.26824852022592216
0.299161734086408,0.1824191329567964,0.2775485202259222
0.5481617340864089,0.18191913295679646,0.2868485202259221
0.7971617340864076,0.1814191329567964,0.29614852022592225
0.9538382659135916,0.18091913295679646,0.2945514797740779
0.704838265913593,0.1804191329567964,0.28525147977407794
0.455838265913592,0.17991913295679643,0.27595147977407797
0.2068382659135934,0.1794191329567964,0.2666514797740779
0.0421617340864075,0.17891913295679643,0.25735147977407774
0.2911617340864061,0.17841913295679646,0.24805147977407785
0.540161734086407,0.1779191329567964,0.23875147977407796
0.7891617340864079,0.17741913295679645,0.22945147977407798
0.961838265913591,0.1769191329567964,0.22015147977407773
0.7128382659135903,0.17641913295679645,0.21085147977407778
0.4638382659135916,0.1759191329567964,0.2015514797740779
0.21483826591359068,0.17541913295679643,0.19225147977407794
0.034161734086407824,0.1749191329567964,0.18295147977407783
0.28316173408640877,0.17441913295679642,0.17365147977407772
0.5321617340864074,0.17391913295679645,0.16435147977407782
0.7811617340864083,0.1734191329567964,0.15505147977407788
0.9698382659135907,0.17291913295679645,0.14575147977407796
0.7208382659135921,0.1724191329567964,0.13645147977407784
0.4718382659135912,0.17191913295679645,0.12715147977407776
0.22283826591359257,0.1714191329567964,0.11785147977407781
0.026161734086408317,0.17091913295679642,0.10855147977407788
0.275161734086407,0.1704191329567964,0.09925147977407796
